State,Zip Code,Phone,Fax,,,,
WI,53022,262387-8281,262532-8405,,,,
WI,53095,262670-4040,262670-4451,,,,
WI,53228,414747-7474,262827-2280,,,,
WI,53005,262236-8787,262236-8789,,,,
WI,53024,262387-8281,262387-8258,,,,
WI,54115,920403-8167,920403-8203,,,,
WI,53092,262236-8787,262387-8258,,,,
WI,54937,920907-7055,920907-7413,,,,
WI,53209,262236-8787,414247-4890,,,,
WI,53222,262236-8787,414607-6336,,,,
WI,53051,262236-8787,262250-1828,,,,
WI,54241,920793-6520,920793-6521,,,,
WI,53158,262857-5037,262857-5031,,,,
WI,53105-7614,262767-6440,262971-9573,,,,
WI,53186,262896-6078,262896-3925,,,,
WI,54982,920787-6900,920787-6961,,,,
Franklin,WI,53132,414747-7474,414423-0615,,,
New Berlin,WI,53151,262236-8787,262827-3186,,,
WI,53235,414747-7474,414747-6676,,,,
WI,54904-7668,920456-7040,920303-5698,,,,
WI,53024,262329-4600,262329-4601,,,,
WI,54143,715735-42007272,715735-8029,,,,
WI,53066,262434-1400,262434-1450,,,,
Neenah,WI,54956,920720-8200,920720-8027,,,
WI,53212,414747-7474,414274-4044,,,,
WI,53081,920453-3885,920453-3972,,,,
WI,53073,920451-5545,920449-7331,,,,
WI,53233,414219-7360,414219-6369,,,,
WI,53215,414649-60955,414649-5482,,,,
WI,53227,414329-4332,414329-5652,,,,
TX,78758,512451-82114244,512832-6331,,,,
Austin,TX,78749,512776-1000,512339-6360,,,
Austin,TX,78758,512776-1000,512399-6360,,,
TX,78666,512453-6100,512836-8869,,,,
TX,78731,512453-6100,512836-8869,,,,
Austin,TX,78746,512453-6100,572836-8869,,,
Manor,TX,78653,512453-6100,512836-8869,,,
Kyle,TX,78640,512453-6100,512836-8869,,,
Austin, TX,TX,78735,512453-6100,512836-8869,,
Austin,TX,78726,512453-6100,512836-8869,,,
Cedar Park,TX,78613,512453-6100,512836-8869,,,
TX,78620,512453-6100,512776-1170,,,,
Austin,TX,78759,512453-6100,512836-8869,,,
Austin,TX,78731,512346-6611,512465-1607,,,
Austin,TX,78704-7048,512346-661157650,512406-7315,,,
,Kyle,TX,78640,512346-661157650,512406-7315,,
LA,70433,985801-6216,985801-3004,,,,
FL,33180,877341-7017,305792-5829,,,,
SD,57105,605322-7465,605322-3835,,,,
SD,57401,605622-5556,605622-2551,,,,
SD,57301,605995-2280,605995-6349,,,,
SD,57105,605322-7465,605322-3835,,,,
Sioux Falls,SD,57106-3645,605322-7465,605322-3835,,,
NE,68729,402358-57005728,402358-5707,,,,
SD,57022,605428-2431,605428-2473,,,,
MN,56241,320564-6241,320564-2358,,,,
SD,57533,605835-5180,605835-8101,,,,
IA,51334,712362-6137,712362-6283,,,,
MN,56258,507537-9189,507537-9259,,,,
SD,57006,605697-9500,605697-9541,,,,
SD,57108,605322-5273,605322-5237,,,,
SD,57108,605322-3300,605322-3301,,,,
SD,57105,605336-2140,605782-8326,,,,
Windom,MN,56101,507831-1703,507831-5668,,,
MN,56187,507372-6515,507372-6506,,,,
IA,51246,712472-5401,712472-5505,,,,
SD,57078,605668-8150,605668-8153,,,,
NE,68763,402336-26115128,402336-5117,,,,
SD,57366,605928-3311185,605928-4416,,,,
SD,57501,605224-3190,605224-3417,,,,
CT,6880,203227-5125,203222-7180,,,,
San Antonio,TX,78209,210826-2666,210314-7545,,,
TX,78006,210826-2666,210314-7545,,,,
TX,78340,210247-0888,210558-0758,,,,
TX,78258,210826-2666,210314-7545,,,,
TX,78251,210826-2666,210314-7545,,,,
OH,43082,614459-1000,614918-9691,,,,
OH,43221,614457-4827,614929-5262,,,,
OH,43017,614459-1000,614766-1335,,,,
OH,44820,419563-9342,419562-1073,,,,
OH,44906,567307-7742,567307-7745,,,,
MA,2114,617724-9729,617726-1074,,,,
NY,10032,212342-3589,212305-4819,,,,
LA,71351,318240-6194,318240-6081,,,,
FL,33012,305818-2006,305818-2009,,,,
Harlingen,TX,78550,956412-2121,956412-2125,,,
Brownsville,TX,78520,956435-9948,956621-1697,,,
CT,6360,860823-6304,860425-0847,,,,
GA,31510,912632-89611022,912632-8414,,,,
OK,74055,918376-8040,918550-6511,,,,
TN,37660,423723-6877,423230-8179,,,,
TN,37643,423542-1289,423542-1293,,,,
TN,37857,423921-7240,423921-7179,,,,
TX,76821,325365-4957,325365-3953,,,,
AZ,85206,480321-44441,480321-4445,,,,
NV,89406,775867-7150,775423-7390,,,,
AZ,85375,623524-4462,623524-4179,,,,
CO,80525,970810-6070,970821-4079,,,,
AZ,85138,520233-2500,520233-2688,,,,
Mesa,AZ,85206,480610-7400,480610-7401,,,
AZ,85224,480610-7400,623842-5936,,,,
AZ,85202,480610-7400,623465-6762,,,,
Gilbert,AZ,85234,480610-7400,623842-5936,,,
Phoenix,AZ,85037,623847-2000,623842-5936,,,
,Sun City West,AZ,85375,623847-2000,623842-5936,,
Glendale,AZ,85308,623847-2000,623842-5936,,,
Glendale,AZ,85308,623847-2000,623842-5936,,,
Phoenix,AZ,85032,623847-2000,623465-6762,,,
Peoria,AZ,85381,623876-3920,623842-5936,,,
,Glendale,AZ,85306,623847-2000,623842-5936,,
Phoenix,AZ,85027,623847-2000,623842-5936,,,
Greeley,CO,80634,970810-6070,970810-2621,,,
Loveland,CO,80538,970820-6518,970820-6745,,,
AZ,85284,480610-7400,623842-5936,,,,
Casa Grande,AZ,85122,520381-6745,623842-5936,,,
CA,96130,530252-2121,530252-2122,,,,
Gilbert,AZ,85234,480543-6900,480543-6985,,,
AZ,85541,928471-3493,928471-1019,,,,
AZ,85719,520694-6940,520874-7118,,,,
TX,77630,409883-1377,409883-1374,,,,
TX,78258,210228-9729,210730-9690,,,,
San Antonio,TX,78251,210521-2989,210520-0491,,,
San Antonio,TX,78215,210228-9729,210351-0720,,,
AL,36117,334747-4490,334747-4486,,,,
TN,38017,901861-8807,901861-8804,,,,
KY,40014,502222-33043618,502222-3629,,,,
FL,33196,786573-6000,786533-9686,,,,
KY,40004,502350-3889,502350-3890,,,,
AR,72205,501202-7742,501202-7002,,,,
North Little Rock,AR,72117,501202-1922,501202-4979,,,
KY,40701,606526-4268,606523-8738,,,,
KY,42367,270377-2134,270377-1747,,,,
KY,42431,270326-39003939,270326-4911,,,,
FL,33437,561374-5300,561374-5310,,,,
FL,33414,561336-7164,561795-7888,,,,
FL,33324,954837-1420,954837-1061,,,,
KY,40108,270422-1222,270422-1278,,,,
KY,40223,502897-8888,502896-7729,,,,
IN,47150,812949-5570,812949-5712,,,,
KY,42701,270706-54443,270706-5356,,,,
Elizabethtown,KY,42701,270706-6985,270982-3347,,,
Corydon,IN,47112,812949-5570,812949-5712,,,
AR,72015,501776-20065,501776-2153,,,,
KY,40031,502222-3939,502222-3629,,,,
KY,40324,859260-6050,859260-4151,,,,
Lexington,KY,40503,859260-6050,859260-4151,,,
Lexington,KY,40509,859260-6050,859260-4151,,,
Lexington,KY,40513,859260-6050,859260-4151,,,
KY,40475,859260-6050,859260-4151,,,,
KY,40207,502897-8888,502259-4608,,,,
AR,72104-0000,501332-7373,501332-7376,,,,
AR,71923,870245-1240,870245-1181,,,,
AR,72032,501202-1922,501585-2906,,,,
AR,72160,870674-6381,870672-6875,,,,
Frankfort,KY,40601,502875-0882,502875-0872,,,
KY,40207,502893-6777,502895-1826,,,,
KY,40207,502895-1111,502895-1085,,,,
KY,40243,502897-8888,502896-7266,,,,
KY,42003,270575-2662,270415-7241,,,,
KY,40475,859625-3173,859625-3387,,,,
Fort Smith,AR,72901,479709-19136875,479573-7869,,,
OK,73702,580548-1700,580548-1497,,,,
FL,32003,904516-1861,904516-1871,,,,
FL,32081,904271-7574,904271-7527,,,,
Nicholasville,KY,40356,859260-6050,859260-4151,,,
TX,77657,409212-5672,409212-5620,,,,
Pensacola,FL,32501,850469-7437,850469-2309,,,
TX,77701,409212-5000,,,,,
TX,77701,409212-7950,409212-7951,,,,
Hoover,AL,35244,205949-4900,205949-4902,,,
TX,78235,210423-3950,210423-3957,,,,
TX,78229,210228-9729,210692-3472,,,,
TX,78132,830327-1878,210651-7325,,,,
TX,78154,210339-9401,210651-7325,,,,
Miami,FL,33176,786573-6000,786533-9724,,,
FL,32250,904202-2222,904202-4090,,,,
Yazoo City,MS,39194,662751-8164,662751-8287,,,
MS,39090,662290-3295,662290-3347,,,,
AR,72543,501887-32450000,501887-3396,,,,
FL,32034,904202-2222,904321-3715,,,,
FL,32258,904202-2222,904271-6286,,,,
Miami Beach,FL,33139,786573-6000,786533-9741,,,
FL,32566,850939-4888,850939-4620,,,,
FL,33129,786467-5351,786533-9568,,,,
FL,33134,786467-5052,786467-5051,,,,
FL,33067,954837-1000,954837-1021,,,,
FL,33178,786573-6000,786596-3821,,,,
FL,33176,786573-6000,756596-3839,,,,
FL,33027,954837-1352,954837-1351,,,,
FL,33184,786573-6000,786596-4201,,,,
FL,33165,786573-3882,786573-3881,,,,
MS,38829,662720-5017,662720-3015,,,,
TN,38344,731986-7252,731986-7064,,,,
MS,38671,901227-4433,662772-2141,,,,
MS,38655,662636-4252,662636-1663,,,,
TN,38019,901475-5333,901475-5459,,,,
TN,38261,731884-85508553,731884-8785,,,,
MS,38652,662538-2133,662538-2123,,,,
McKenzie,TN,38201,731393-7044,731352-6668,,,
AR,72301,870394-7842,,,,,
Memphis,TN,38120,901227-7465,901226-0835,,,
MS,39701,662244-1540,662244-1541,,,,
MS,39051,601267-11001263,601267-1261,,,,
FL,32218,904202-6926,904391-5411,,,,
FL,33176,786596-3886,786533-9724,,,,
Miami,FL,33014,786573-6000,786596-2352,,,
Memphis,TN,38120,901227-7465,901226-0835,,,
MI,49946,906524-3343,906524-3404,,,,
PA,19010-3160,484337-4400,484337-8709,,,,
Santa Monica,CA,90404,310301-6800,310825-3205,,,
KY,40906,606545-5528,606545-5558,,,,
NJ,7039,973322-7888,973322-7829,,,,
MO,63110,314454-7500,314454-5676,,,,
,St. Louis,MO,63129,314454-7500,314454-5676,,
MO,63110,314454-7500,314454-5676,,,,
MO,63376,636916-9320,636916-9618,,,,
St. Louis,MO,63141,314996-8080,314996-8620,,,
OH,43713,740425-5114,740425-5174,,,,
PR,794,787857-3989,787857-3900,,,,
MT,59725,406683-3266,406683-3112,,,,
CA,92311,760256-17613326,760957-3385,,,,
AK,99801,907796-8802,907796-8467,,,,
CA,96150,530542-30005851,530542-9550,,,,
Royal Oak,MI,48073,248288-1600,248435-8099,,,
Sterling Heights,MI,48313,586566-8680,586566-8730,,,
Dearborn,MI,48126,313584-0768,248435-8099,,,
CA,94598,925329-3710,925329-3711,,,,
AK,99703-7440,907361-5023,907361-5577,,,,
NY,13326,607547-3600,607547-6554,,,,
NY,13350,315867-2792,315867-2820,,,,
NY,13365,315823-5232,315823-5319,,,,
NY,12043,518254-3351,518254-3360,,,,
MO,64730,660200-7085,660200-7084,,,,
MS,38606,662712-2299,662712-2242,,,,
VA,24445,540839-7037,540839-7134,,,,
LA,70769,225763-4631,225763-4470,,,,
LA,70816,225333-3564,225490-0292,,,,
LA,70809,225763-4631,225763-4470,,,,
LA,70806,225381-6505,225387-7017,,,,
AR,72653,870508-1154,870508-1696,,,,
Corpus Christi,TX,78412,361761-3430,361761-3764,,,
OR,97420,541269-8090,541269-8571,,,,
OR,97420,541269-8090,541269-8571,,,,
OH,43616,419690-8600,419697-7741,,,,
MD,21012,410544-3331,410544-3329,,,,
Panama City,FL,32405,850747-4900,850215-0408,,,
PR,960,787620-818145803,787622-8495,,,,
PR,956,787858-4300,787680-0835,,,,
FL,33558,813265-6300,813265-6319,,,,
FL,33777,727461-8555,727461-8760,,,,
Riverview,FL,33578,813302-8925,813302-8929,,,
FL,33596,813586-8511,813586-8516,,,,
FL,33716,727734-6442,727561-2341,,,,
FL,34638,855269-4333,813692-8020,,,,
Tampa,FL,33609,813259-1900,813259-1999,,,
FL,33705,727502-4200,727502-4201,,,,
FL,34655,727372-4047,727372-4135,,,,
Safety Harbor,FL,34695,727461-8555,727725-6384,,,
FL,33626,813749-7818,813749-7815,,,,
DE,19963,302430-5707,302430-5050,,,,
Dover,DE,19904,302857-3890,302310-8872,,,
Dover,DE,19901,302744-7400,302735-3210,,,
DE,19963,302430-5707,302430-5050,,,,
TX,75061,972579-42706,972579-4259,,,,
TX,75063,972990-56506,972990-5695,,,,
TX,75165,469843-5160,469843-5163,,,,
McKinney,TX,75071,469764-7001,469764-7026,,,
TX,76051,972990-4272,817305-5019,,,,
TX,75093,469814-4401,469814-2022,,,,
TX,75082,214442-7050,469814-2022,,,,
TX,77845,979207-4281,979207-4283,,,,
TX,76574,512509-9100,512509-9136,,,,
TX,78734,512654-5152,512654-5157,,,,
 TX,TX,78660,512654-6113,512654-6112,,,
Houston,TX,77030,713798-2181,713798-8717,,,
TX,75246,214820-2430,214818-9300,,,,
TX,75231,214820-2430,214818-9300,,,,
LA,71459,337531-3271,337531-3709,,,,
NJ,7002,201858-6572,201858-5303,,,,
NJ,7733,732739-5982,732962-7234,,,,
Springfield,MA,1107,413794-9564,413794-9460,,,
MA,1301,413773-2348,413773-2139,,,,
MA,1082,866531-8378,413967-2330,,,,
MA,1075,413827-7400,413794-9459,,,,
MA,1106,413827-7400,413827-7407,,,,
MA,1060,413827-7400,413923-5601,,,,
,Enfield,CT,6082,866209-7271,860745-6995,,
Suffolk,VA,23434,757934-9308,757539-7582,,,
Jasper,AL,35501,205387-4750,205387-4753,,,
IA,50662-3120,319283-2651,319283-5635,,,,
IN,46526,574875-9426,574875-0853,,,,
ID,83254,208847-16304424,208847-2201,,,,
CA,92315,909878-8226,909878-8280,,,,
SC,29303,864560-6186,864560-7354,,,,
Spartanburg,SC,29303,864560-6186,864560-1955,,,
SC,29301,864560-6186,864560-1953,,,,
SC,29307,864573-3245,864573-3446,,,,
SC,29307,864560-6186,864560-7354,,,,
SC,29340,864487-1556,864206-6228,,,,
SC,29379,864560-6186,864560-1955,,,,
Greer,SC,29650,864612-9076,864560-1953,,,
MT,59068,406446-2345,406446-1660,,,,
NE,68310,402228-33447342,402223-6531,,,,
SC,29902,843522-5015,843522-5848,,,,
SC,29902,843522-5015,843522-5848,,,,
SC,29909,843706-8851,843706-8681,,,,
MI,48240,947521-4906,248473-4995,,,,
MI,48184,734467-6770,734467-6775,,,,
Dearborn,MI,48124,313438-7715,313438-7720,,,
MI,48009,800328-8542,248855-7470,,,,
West Bloomfield,MI,48322,800328-8542,248855-7470,,,
MI,48230,313473-1876,313473-1806,,,,
MI,48073,800328-8542,248551-1850,,,,
Dearborn,MI,48124-3743,313438-7727,313438-7730,,,
MI,48195,734246-8140,734246-8143,,,,
MI,48187,734454-8029,734454-0416,,,,
MI,48044,248577-9700,248964-5199,,,,
,Lake Orion,MI,48360-1438,248577-9700,248964-5199,,
MI,48048,947523-4040,947523-4041,,,,
MI,48081,586443-2950,586443-2951,,,,
MI,48183,734362-6787,734642-2130,,,,
LA,70634,337462-8782,337462-7437,,,,
Beaver Dam,WI,53916,920887-4006,920356-6324,,,
Redlands,CA,92373,909425-331332749,909862-1064,,,
Highland,CA,92346,909425-3133,909862-1064,,,
OR,97005-3499,503571-5645,503571-8469,,,,
WV,25801,304255-5679,304255-3545,,,,
Beckley,WV,25801,304253-6066244,304253-6086,,,
CA,90210-9998,310278-8590,424202-3759,,,,
DE,19971,302645-3278,302645-3011,,,,
DE,19967,302539-87492224,302539-1650,,,,
DE,19947,302645-3278,302856-6020,,,,
DE,19966,302645-3278,302645-3011,,,,
New York,NY,10017,212508-0045,212508-0047,,,
MI,49615,231533-8649127,231533-6778,,,,
NY,10016,212562-644039,212263-7666,,,,
WA,98004,425454-1700,425454-0600,,,,
WI,54301,920445-7272,920433-5811,,,,
MI,49801,920445-7272,906774-0871,,,,
WI,54143,715735-2226,715735-2227,,,,
TX,77418,979413-7260,979413-7193,,,,
WI,53511,608364-5266,608364-5312,,,,
MO,64012,816348-1224,816348-1296,,,,
MT,59601,406442-7227,406442-4863,,,,
MT,59405,406731-8400,406731-8433,,,,
MT,59405,406731-8440,406731-8433,,,,
ID,83861,208245-7631,208245-2471,,,,
Englewood,NJ,7631,201568-4242,201568-1298,,,
NJ,7652,201967-4064,201967-4288,,,,
NJ,7087,201348-6060,201348-2064,,,,
Pittsfield,MA,1201,413447-2451,413447-2148,,,
NY,14141,716592-8169,716592-8117,,,,
FL,33013,305681-7555,305681-7040,,,,
MA,2467,617278-8550,617278-8555,,,,
MA,2150,617754-9540,617975-6039,,,,
MA,2420,781528-2560,781528-2565,,,,
MA,2186,617313-1700,617313-1526,,,,
MA,2492,781453-3044,781453-5789,,,,
MA,2360,508830-3000,508747-1383,,,,
MA,2215,617254-9500,617754-9510,,,,
MA,2360,508830-3000,508830-2359,,,,
OH,45011,513569-6777,513569-6717,,,,
OH,45036,513569-6777,513282-7086,,,,
WV,26506-8064,304293-1223,304293-6703,,,,
Montebello,CA,90640,323725-5017,323725-5098,,,
CA,90210,310385-774716501,310385-9144,,,,
TX,78207,210644-8850,210702-4303,,,,
TX,78229,210644-8850,210702-4303,,,,
TX,78229,210644-8850,210702-4303,,,,
TX,78216,210384-8439,210348-1913,,,,
San Antonio,TX,78224,210806-9255,210806-9256,,,
PA,16214,814226-1247,814226-1252,,,,
PA,16057,724284-4000,724284-4465,,,,
Weston,FL,33326,954217-3200,954217-3201,,,
AL,35042,205926-3257,205928-3448,,,,
MT,59034,406665-2310,406665-2138,,,,
TN,37841,423286-5311,423286-5315,,,,
MN,56628,218743-4132,218743-4258,,,,
MT,59718-2402,406898-1200,406435-7269,,,,
MT,59101,406238-2501,406435-7269,,,,
MT,59301,406233-7039,406233-7077,,,,
MT,59102,406238-2501,406238-2948,,,,
NC,28803,828277-7727,855619-9998,,,,
ID,83221,208785-3807,208785-3811,,,,
MA,2169,617770-9300,617770-3463,,,,
,Mayaguez,PR,682,787805-2041,787986-7171,,
AL,35211,205206-8386,205206-8381,,,,
Pell City,AL,35125-9314,205437-7463,205338-0461,,,
,Birmingham,AL,35205,205933-8334,205933-8466,,
AL,35244,205271-5600,205582-3418,,,,
Birmingham,AL,35235,205838-3134,205838-3540,,,
MO,63011,636484-5200,636484-5201,,,,
ID,83221,208785-8145,208785-1762,,,,
Rockville,MD,20850,301590-8999,240864-1125,,,
Germantown,MD,20874,301590-8999,301444-8700,,,
Rockville,MD,20852,301590-8999,301212-4266,,,
,Rockville,MD,20850,301762-1116,301762-5524,,
Silver Spring,MD,20904,301590-8999,301572-8134,,,
OH,45840-1299,419423-5323,567525-4336,,,,
KY,42223,270956-0033,270798-8243,,,,
IL,62363,217285-21133100,217285-5062,,,,
IL,62301,217223-84004300,217223-3906,,,,
Bloomsdale,MO,63627,573883-7720,573883-7721,,,
TN,37804-5015,865977-5590,865980-4950,,,,
ME,4614,207374-3999,207374-3974,,,,
IL,60406,312864-0413,708864-9512,,,,
UT,84511,435678-4820,435678-4691,,,,
OR,97845,541575-4163,541575-3818,,,,
NC,28601,828580-1247,828580-1992,,,,
NC,28792,877318-1349200,704966-2407,,,,
Morganton,NC,28655,828580-5282,828580-6986,,,
Valdese,NC,28690,828580-7524,828580-7612,,,
NC,28777,828766-1630,828766-1631,,,,
KY,40383,859879-2359,859879-2410,,,,
MO,63901,573785-6610,573785-3699,,,,
IN,46714,260919-3830,260824-7059,,,,
OH,45817,419423-5323,419369-4443,,,,
SC,29910,843836-1664,843705-7031,,,,
FL,33486,561300-0220,561334-2147,,,,
Rocky Mount,NC,27804,252937-0449,252937-0272,,,
CA,92683,714531-2091204,714531-7926,,,,
VA,23223,804627-5660,804225-1758,,,,
NY,12771,845858-7050,845858-7432,,,,
VA,23505,757889-5200,757398-2288,,,,
,Greenville,SC,29607,864242-40111,864232-6085,,
Greenville,SC,29605,864242-4011,864232-6085,,,
VA,23230,804287-3500,804285-1405,,,,
Colonial Heights,VA,23834,804765-5206,804526-1239,,,
VA,23435,757541-1914,757673-5969,,,,
VA,22482,804435-8325,804435-8040,,,,
VA,23114,804320-2483,804419-1860,,,,
VA,23851,757569-61006108,757516-1109,,,,
VA,23847,434348-4825,434348-4945,,,,
VA,23114,804627-5660,804627-5658,,,,
VA,23226,804287-7501,804287-7504,,,,
VA,23113,804627-5660,804794-7043,,,,
FL,33881,863293-11913637,863837-5326,,,,
ID,83864,208265-3349,208265-3348,,,,
NE,68620,402395-3137507,402395-3119,,,,
IA,50036,515433-8160,515433-8916,,,,
MO,65203,573815-8150,573815-3750,,,,
MO,65201,573815-3523,573815-8590,,,,
WV,25130,304369-8805,304307-2601,,,,
MI,49015,269565-9233,269565-9236,,,,
Brooklyn,NY,11219,718436-1600,718436-2085,,,
TX,76634,254675-83227341,254675-7935,,,,
Bossier City,LA,71111,318212-8550,318212-7535,,,
MA,2481,617553-5300,617553-5353,,,,
Boston,MA,2118,617414-8163,617638-8136,,,
MA,2125,617287-80008050,617287-1500,,,,
MO,65301,660827-7910,660829-0361,,,,
MO,65355,660438-6800,660438-6525,,,,
Farmington Hills,MI,48336,947521-4435,248473-4995,,,
MI,48336,947521-4435,248473-4995,,,,
CO,80303,303440-2170,303415-7555,,,,
CO,80026,303415-5170,303440-2168,,,,
CO,80516,303415-5170,303440-2168,,,,
ID,83805,208267-31414258,208267-7167,,,,
UT,84010,801397-6392,801397-6399,,,,
KY,40361,859987-36001070,859987-1073,,,,
FL,34210,941782-0490,941782-0496,,,,
Bowie,MD,20716,240260-2425,301860-1736,,,
NE,69301,308761-43571311,308762-5488,,,,
PA,19512,610367-884412,610367-1512,,,,
PA,16701,814362-8213,814362-8528,,,,
AR,71671-3459,870226-4393,870226-4168,,,,
VT,5301,802275-36063606,802251-8432,,,,
FL,34428,352795-8365,352795-8369,,,,
FL,34606,352686-5023,352683-7231,,,,
ME,04402-0404,207973-8108,207973-8104,,,,
Bangor,ME,4401,207973-8108,207973-8104,,,
LA,70360,985858-3333,985858-3342,,,,
AK,99701,907479-3909,907479-2215,,,,
MO,63703,573519-4900,573986-6693,,,,
Rancho Cucamonga,CA,91730,909450-0688,909450-0650,,,
Sarasota,FL,34233,800921-7184,866385-0589,,,
UT,84088,801562-4292,801562-3191,,,,
MO,64068,816792-7016,816415-5108,,,,
OH,44125,216636-8000,216587-8894,,,,
GA,30041,404851-6577,770844-3493,,,,
CO,80138,303269-4150,303269-4151,,,,
CA,92270,760318-2980,760323-9654,,,,
ID,83616,208367-8787,208367-3390,,,,
DC,20032,202465-7164,202905-0159,,,,
DC,20032,202465-7164,202905-0159,,,,
NC,27012,336716-7243,336713-4972,,,,
GA,30005,404255-80862219,404255-5592,,,,
Atlanta,GA,30342,404255-80862129,404255-5592,,,
WA,98284,360856-7141,360856-7557,,,,
CA,92801,714999-6134,714999-6007,,,,
Lafayette,LA,70508,337504-5000,337504-5646,,,
LA,70592,337504-500000,337504-5646,,,,
CA,92618,949502-3489,949417-1165,,,,
Naples,FL,34105,239238-1210,239238-1212,,,
Evanston,IL,60202,847316-3011,847316-2445,,,
ME,4605,207664-5492,207664-5493,,,,
IN,46805,260266-8120,260266-8130,,,,
IN,46845,260266-8120,260266-8130,,,,
Longmont,CO,80504,720718-8130,720718-5986,,,
Indianapolis,IN,46219,317806-8265,317355-1575,,,
IN,46256,317806-8265,317621-2320,,,,
IN,46845,260266-8120,260266-8130,,,,
CO,80538,970207-4700,970207-4755,,,,
Gresham,OR,97030,503674-1233,503674-1860,,,
OH,43214,614566-1111,614566-1953,,,,
Sarasota,FL,34239,941917-7322,941917-1400,,,
CA,91767,909865-9583,909865-9794,,,,
Greenbrae,CA,94904,415925-7301,415925-7317,,,
Huntington,WV,25701,304526-2270,304526-2436,,,
PA,19301,484565-1414,484565-1490,,,,
NJ,7801,973895-6609,973895-5381,,,,
LA,70601,337494-4755,337494-4757,,,,
OK,73013,405844-2601,405844-2610,,,,
Allentown,PA,18103,610402-0691,610402-0695,,,
